Cycle,Error,ExecutionTime(ms)
0,16,0.155986
1,16,0.167705
2,13,0.143053
3,13,0.145479
4,13,0.142056
5,13,0.146219
6,13,0.141977
7,13,0.142155
8,13,0.142204
9,11,0.141632
10,11,0.14183
11,9,0.17388
12,9,0.142342
13,9,0.158304
14,9,0.140478
15,9,0.140004
16,9,0.140222
17,9,0.144847
18,8,0.140507
19,8,0.139955
20,8,0.154536
21,8,0.139471
22,8,0.137824
23,8,0.142993
24,8,0.137666
25,8,0.139788
26,8,0.138781
27,8,0.137814
28,8,0.138781
29,8,0.142036
30,8,0.137478
31,8,0.149495
32,8,0.138268
33,8,0.139402
34,7,0.136887
35,7,0.139757
36,7,0.158739
37,7,0.138811
38,7,0.138534
39,7,0.138002
40,7,0.147966
41,7,0.136966
42,7,0.139984
43,7,0.137084
44,7,0.136847
45,7,0.136364
46,7,0.149997
47,7,0.135713
48,7,0.140882
49,7,0.136492
50,7,0.136325
51,5,0.136206
52,5,0.143832
53,5,0.134352
54,5,0.140389
55,5,0.138988
56,4,0.133227
57,4,0.133237
58,4,0.133217
59,4,0.180382
60,4,0.167103
61,4,0.159922
62,4,0.139609
63,4,0.131569
64,4,0.131362
65,4,0.148587
66,3,0.13156
67,3,0.131194
68,3,0.130109
69,3,0.130257
70,3,0.128748
71,3,0.129409
72,3,0.145272
73,3,0.130691
74,3,0.144552
75,3,0.12937
76,3,0.12931
77,2,0.128433
78,2,0.128245
79,2,0.128285
80,2,0.12862
81,2,0.126992
82,2,0.12718
83,2,0.13592
84,2,0.127702
85,2,0.129064
86,2,0.12642
87,2,0.126934
88,2,0.128157
89,2,0.12711
90,1,0.132438
91,1,0.13451
92,1,0.141523
93,1,0.133
94,1,0.128798
95,1,0.171374
96,1,0.174946
97,1,0.132231
98,1,0.129557
99,1,0.12647
100,1,0.125434
101,1,0.139669
102,1,0.131688
103,1,0.145124
104,1,0.125226
105,1,0.124999
106,1,0.126351
107,1,0.12499
108,1,0.125463
109,0,0.142618
